ID,Title,Country,,Type,Status,,Approval Date,Committment Amount,,Sector,Subsector,Category,Indigenous Peoples Category,Category,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,Summary
47024-004,Pehur High Level Canal Extension Project (formerly Khyber Pakhtunkhwa Water Resources Project),Pakistan,Sovereign,Loan,Active,3470,11/24/2016,"86,405,000.00",Khyber Pakhtunkhwa,"Agriculture, natural resources and rural development",Agricultural production | Irrigation,A,C,A,Central and West Asia Department,Irrigation Department Khyber Pakhtunkhwa,"Zafar, Asad A.","A sector loan project is proposed as the Government of KPP has a development plan to meet the priority development needs of the IAWR sector as included in the CDS up to 2017, and several subprojects were identified for new irrigated agriculture developments associated with small-medium dam constructions. Selection of the subprojects will be carried out during project implementation. The proposed project is in line with the Country Partnership Strategy,  which includes water and irrigation as one of the core sectors, and focuses on the expansion of irrigated agriculture as well as the rehabilitation of irrigation systems. It is included in the Country Operations Business Plan. 
ADB is already financing improvement of irrigated agriculture over 2 million ha through a $700 million Punjab Irrigated Agriculture Investment Program (PIAIP), which includes upgrading the irrigation infrastructure, on-farm agricultural enhancement and institutional reforms.
The impact of the proposed project is increased farm incomes and incomes of non-farm households engaged to agriculture in arid areas in KPP. The outcome is increased agriculture productivity in arid areas. The key outputs will be the following: (i) water supply capacities are increased in arid areas; (ii) water-use and farm-management capacities are increased in arid areas; and (iii) efficient and effective project management system is operational. 
The key issues in project design and implementation will be (i) to select feasible subprojects with due consideration given to security issue, sound economic viability, and requirement of land acquisition, resettlement, and compensation for cop losses during project implementation; and (iii) careful assessment and processing of the impact on environment and involuntary resettlement.
"
49141-001,Accelerating Infrastructure Delivery through Better Engineering Services Project,Indonesia,Sovereign,Loan,Active,3455,11/10/2016,"148,200,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services","Rural water policy, institutional and capacity development | Transport policies and institutional development | Urban policy, institutional and capacity development",C,C,C,Southeast Asia Department,Ministry of Public Works & Housing,"Qari, Amr J.","The Accelerating Infrastructure Delivery through Better Engineering Services Project (ESP) will help meet the infrastructure development objectives of the Strategic Plan, 2015 2019, of Indonesia's Ministry of Public Works and Housing (MPWH). ESP will strengthen the MPWH's capacity to efficiently design and implement its increased public investment program by (i) improving the quality and timely start-up of infrastructure projects, and (ii) strengthening the MPWH's public investment management systems. The impact will be the attainment of the infrastructure objectives of the MPWH's Strategic Plan, 2015 2019. The outcome will be strengthened capacity of MPWH's DGH, DGHS, and DGWR to efficiently design and implement MPWH's public investment program. ESP's outputs are:
Output 1: Improved quality and timely start-up of infrastructure projects. This output will support the preparation, design, and delivery of up to 40 projects in irrigation, flood management, bulk water, dam, water supply and sanitation, and national road sectors. These infrastructure projects are to be mainly financed from the government budget. 
Output 2: Strengthened capacity in public investment management. This output will strengthen the MPWH's capacity in master planning, survey methodologies and design standards, value engineering, technical and financial assessments during construction, use of multi-year contracting for civil works, asset management, safeguards and procurement systems.
MPWH, through its secretariat general, will be the executing agency, with DGH, DGWR, and DGHS as implementing agencies. MPWH will establish a steering committee to monitor the ESP's overall implementation and ensure ESP-supported projects are prioritized for implementation. A project coordination office will be established at the Bureau of Budget Planning and International Cooperation of the MPWH's secretariat general to support the steering committee. DGH, DGHS, and DGWR will each establish (i) a project management office headed by a project director and supported by administrative staff; and (ii) project implementation units within their respective sector directorates to lead the selection of consultants for project preparation, with participation of concerned local offices of DGH, DGHS, and DGWR, as required. The project implementation units and local offices of DGH, DGHS, and DGWR will establish project teams to review and endorse the outputs of consulting firms for direct payment by ADB. All consultants will be recruited and managed in accordance with ADB's Guidelines on the Use of Consultants (2013, as amended from time to time).
Under the ESP, a large number of consulting firm contracts will need to be expeditiously procured. Given this, and based on ADB's unique experience in supporting the preparation of large pipelines of PPP projects in India and the Philippines, the ESP will apply the following two-phase method for selecting consulting firms for project preparation purposes: (i) the consulting firms will be selected to be part of a panel, and the empanelled firms will be retained for up to 3 years on a noncommittal basis under indefinite delivery contracts (empanelment phase); and (ii) for preparation of individual projects, a selection will be made from the panel based on the evaluation of full technical proposals submitted by the consultants (call-down phase). MPWH will apply this two-phase approach for the first time under the ESP. The National Public Procurement Agency has encouraged piloting testing this approach at MPWH for eventual replication in other sectors.
"
47071-002,Fujian Farmland Sustainable Utilization and Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,3450,11/7/2016,"100,000,000.00",Fujian,"Agriculture, natural resources and rural development",Agricultural production | Irrigation | Land-based natural resources management | Water-based natural resources management,B,C,B,East Asia Department,Fujian Provincial Government (FPG),"Cai, Xueliang","Fujian Province is on the southeast coast of mainland People's Republic of China (PRC) with a population of 37.5 million, of which 40.0% lives in the rural area. Despite its remarkable economic growth driven by urban development on the coastal area, Fujian''s rural economy is predominantly agrarian and agriculture remains the means for livelihood for many rural households. Though its importance is declining, Fujian's agriculture still generates 22.7% of the provincial gross domestic product and 25.0% of the provincial employment. The rapid urbanization caused a decrease in the provincial arable land, 1.26 million ha in 1996 to 1.12 million ha in 2010, which is a serious threat for Fujian''s agriculture development."
48042-001,Panj-Amu River Basin Sector Project,Afghanistan,Sovereign,Grant,Active,0506 | 0507 | 0747,10/26/2016,"44,280,000.00","Badakhshan, Kunduz, Takhar","Agriculture, natural resources and rural development",Agricultural drainage | Irrigation | Rural flood protection,B,C,B,Central and West Asia Department,,ADB Disclosure,"The project will increase agricultural productivity in the Panj-Amu River Basin through improving access and use of water at farm, scheme and river levels. The project will support the government strategy, which aims to increase per-capita income and reduce poverty among rural and pastoral communities. It will improve cropping intensities, irrigated areas, and crop yields on a command area of 74,500 hectares (ha) and as a result, increase annual farm incomes in the range $123-615 per household for over 55,000 households, and create approximately 11,000 full-time rural jobs per annum, with an estimated value of $10.4 million. The project will also improve food security, substitute imports for wheat, and improve self-sufficiency, and increase in exports of high-value products such as fruit and nuts. The project will also create more economic opportunities for agribusiness development, particularly for input suppliers and processors of and market intermediaries for agricultural products."
48102-002,Qinghai Haidong Urban-Rural Eco Development Project,"China, People's Republic of",Sovereign,Loan,Active,3443,10/19/2016,"150,000,000.00",Qinghai,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Forestry | Land-based natural resources management | Rural flood protection | Rural solid waste management | Rural water supply services | Urban flood protection | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",B,B,A,East Asia Department,Haidong Municipal Government,"Liu, Xinjian","Qinghai Province, situated mostly on the Qinghai-Tibetan plateau in northwestern PRC, has long been home to a number of ethnic groups due to its location along the old Silk Road. Ethnically diverse and featuring a beautiful and rugged landscape with mountains and pastures, Qinghai is the source of the Mekong, Yangtze, and Yellow rivers, making it a socially and environmentally significant province for the PRC. Given the fragile terrain, Qinghai is promoting urbanization within a northeastern corridor linking its capital, Xining, to Lanzhou, in Gansu Province. While protecting its natural resources, Qinghai also aims to protect urban areas from natural hazards such as flash flooding, which has increased in cities across the PRC as a result of impermeable paved surfaces, deforestation, poor waterway management, and an overall decrease in natural water collection areas. 
Haidong, the second-largest city in Qinghai, is located within this corridor, immediately east of Xining. A city of 1.7 million residents (30.0% of Qinghai's total population of 5.7 million), Haidong upgraded to a prefecture-level city in 2013, denoting its importance in regional development. Haidong has two districts, Ping'an and Ledu, and four counties. Both districts straddle the Huangshui River, an important tributary of the Yellow River. Strengthening the ecological function of the Huangshui River to protect these critical watersheds is an urgent priority. This involves managing flood risks, reducing soil erosion, improving water quality and availability, increasing climate change resilience, and limiting urban expansion.
"
35182-043,Flood Management in Selected River Basins Sector Project,Indonesia,Sovereign,Loan,Active,3440,9/30/2016,"108,700,000.00","Banten, Provinsi Maluku","Agriculture, natural resources and rural development",Rural flood protection,B,C,A,Southeast Asia Department,"Directorate General of Water Resources, Ministry of Public Works & Housing, Republic of Indonesia","Lawira, Helena","The project will support the Government of Indonesia and river-based communities in better managing and mitigating flood risks. The project has been designed as a sector loan to support the implementation of the Strategic Plan for Water Resources, 2015 -2019 (SPWR) of the Ministry of Public Works and Housing (MPWH). The SPWR includes policy measures and priority investments in 63 river basin territories (RBTs) in Indonesia. The project will finance subprojects in the Cidanau  Ciujung  Cidurian (Banten province) and Ambon  Seram (Maluku province) RBTs. Project interventions will (i) enhance hydrometeorological data and analysis, management, and institutional coordination for managing flood risks; (ii) upgrade and develop flood protection infrastructure; (iii) improve watershed conditions to moderate runoff peaks and soil erosion; and (iv) prepare communities to manage floods. The project will promote effective flood risk management (FRM) by coupling infrastructure investment with supporting software measures. It will contribute to the achievement of the government's National Medium Term Development Plan, 2015 2019 (RPJMN) sector target to reduce the magnitude of economic and social damage due to floods."
47084-002,Community-Focused Investments to Address Deforestation and Forest Degradation,Indonesia,Sovereign,Grant,Active,0501,9/30/2016,0,"Nation-wide, Kabupaten Kapuas Hulu, Kabupaten Sintang, West Kalimantan",Agriculture and Natural Resources,"Agriculture, natural resources and rural development",B,A,B,Southeast Asia Department,Ministry of Environment and Forestry,"Lawira, Helena","With assistance from the Forest Investment Program (FIP) under Climate Investment Funds (CIF), the project will provide a $17 million grant to the Government of Indonesia to address institutional, technical, and capacity-related barriers for REDD+ implementation in West Kalimantan, one of the top five provinces contributing to GHG emissions with a mean deforestation rate of 132,500 ha per year.
The project forms a part of Indonesia''s forest investment plan and will complement projects by the World Bank and International Finance Corporation (IFC). The project will promote inclusive growth and environmental sustainability by investing in community-focused REDD+ activities (e.g., community-based land use planning, community-led forest monitoring and forest fire management, community-assisted forest regeneration and maintenance, community-based eco-tourism) in selected districts and/or forest management units (FMUs) to address deforestation drivers such as illegal logging, forest conversion to agriculture, and uncontrolled fires. The project will strengthen capacity of district and provincial governments in West Kalimantan, provide policy support to harmonize sub-national policies for carbon stock enhancement with national policies, and establish non-monetary incentives, safeguard systems and equitable and gender-responsive benefit sharing arrangements
The project will build on lessons from other REDD+ initiatives by the government and development partners such as Norway, Australia, Germany, Japan, and USA, and establish a sound base for performance-based REDD+ payments. By promoting sustainable forest management, the project will not only reduce GHG emissions and enhance carbon stocks but also provide livelihood co-benefits such as poverty reduction, improved quality of life for forest communities, protection of indigenous peoples' tenure rights, and enhanced conservation of biodiversity and ecosystem services.
"
48236-001,Strengthening Community Resilience to Dzud and Forest and Steppe Fires Project (formerly Strengthening Capacity for Disaster Risk Management and Coordination),Mongolia,Sovereign,Grant,Closed,9187,9/14/2016,0,"Nation-wide, Batnorov, Batshireet, Bayan Sum, Bayan-Adarga, Bayan-Onjuul Sum, Bayandzurh, Bayanjargalan, Bayantes, Bayantsagaan, Bayasgalant, Bulgan, Chandmani-Ondor, Chuluunhoroot, Dadal, Darvi, Dashbalbar, Delger, Delgerhaan, Dzavhanmandal, Erdenetsagaan, Haldzan, Halhgol, Haliun, Holonbuyr, Ider Sum, Matad, Naran, Norovlin, Ongon, Sergelen, Sharga Sum, Songino Sum, Suhbaatar, Tsagaan-Ovoo, Tsenhermandal",Agriculture and Natural Resources,"Agriculture, natural resources and rural development",C,C,C,East Asia Department,National Emergency Management Agency,"Giorgetti, Annabelle C.","The proposed project has been developed based on the request of NEMA and in close consultation with other key agencies working on DRM initiatives in Mongolia. The project will integrate and complement the on-going DRM initiatives in Mongolia and build on the lessons learnt from the work implemented by relevant partner agencies in Mongolia working on DRM. The project will explore collaboration with the Japanese Space Exploration Agency on the use of remote sensing technology in DRM. <br><br>The project is consistent with Asian Development Bank's (ADB) Interim Country Partnership Strategy for Mongolia (ICPS), 2014 2016 to support inclusive and environmentally sustainable growth. The ICPS identified that climate-related disasters, including droughts, dzud, and flashfloods, with high social and economic costs (particularly for herders) have doubled in frequency. In the livestock subsector, reduced pasture productivity and extreme cold temperatures lead to lower productivity and higher mortality rates. It further highlighted that measures to improve natural resources management and increase resilience to natural hazards are urgently required to ensure sustainable development and herders' livelihoods. The project will support NEMA in implementing its main responsibilities related to DRM, which are included under the following basic laws in Mongolia: (i) the Law on Disaster Protection; (ii) Law on Fire Safety; and (iii) Law on Forest and Steppe Fire Protection. The project is designed to support the National Program on Strengthening Disaster Prevention Capacity in Mongolia that was approved by Parliament in March 2011. The proposed project also responds to the first two priorities highlighted in the ADB Operational Plan for Integrated DRM, 2014 2020 that seeks to (i) promote an integrated DRM approach in ADB's operations; and (ii) further strengthen developing member country's integrated DRM capabilities, knowledge, and resources to reduce disaster risk and to respond to disaster events in a timely, cost-efficient manner. The project is included in ADB's non-lending pipeline as 2015 firm.<br><br>The proposed project builds on the government's recent progress in DRM. It seeks to further enhance the government's capacity in dealing with disaster risk reduction, preparedness, and response both at the national and local levels."
40253-036,LAO: Greater Mekong Subregion Biodiversity Conservation Corridors Project â€” Additional Financing,Lao People's Democratic Republic,Sovereign,Grant,Active,0488,8/9/2016,0,"Attapu, Sekong",Agriculture and Natural Resources,"Agriculture, natural resources and rural development",B,B,B,Southeast Asia Department,Ministry of Natural Resources and Environment,"Louangraj, Phantouleth","The Additional Financing resources will be used to scale up sustainable forest management activities of the Greater Mekong Subregion Biodiversity Conservation Corridors Project, with a view to strengthening REDD+ readiness and implementation capacity in selected districts and amongst targeted project beneficiaries."
47047-002,Shandong Groundwater Protection Project,"China, People's Republic of",Sovereign,Loan,Active,3400,6/29/2016,"150,000,000.00","Weifang, Zibo","Agriculture, natural resources and rural development","Rural flood protection | Rural water policy, institutional and capacity development | Water-based natural resources management",A,C,A,East Asia Department,Shandong Provincial Government,"Yee, Au Shion","The proposed loan for the Shandong Groundwater Protection Project will contribute to ensuring sustained groundwater supply for the agricultural sector in the Weifang-Zibo area. The project will serve as a demonstration of an integrated approach for environmental restoration of overexploited groundwater aquifers through improving allocation of water resources, retention of storm water, and rehabilitating the water environment. The project will protect groundwater quantity and quality in the area, safeguard a sustainable groundwater source for the agricultural sector, and contribute to improving food security in the PRC."
47069-002,Henan Hebi Qihe River Environmental Improvement and Ecological Conservation Project,"China, People's Republic of",Sovereign,Loan,Active,3401,6/29/2016,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural flood protection | Water-based natural resources management | Urban flood protection | Urban sewerage,B,C,A,East Asia Department,Hebi City Government,"Kobayashi, Yoshiaki","The Hebi city government (HCG) has been making various efforts on environmental improvement and ecological conservation in the Qihe River basin, including afforestation, WWTP construction and solid waste management. To address the issues described above, the HCG prepared various plans, including Master Plan for Hebi City Qihe River Ecological Areas for 2010 2020 and Hebi City Urban Flood and Waterlogging Control Plan for 2011 2020. The HCG requested the Asian Development Bank (ADB) to provide lending support to implement environmental improvement and ecological conservation in and around Qihe River by integrating key activities in the above-mentioned plans in a consistent manner and to support the city's effort in implementation of this pilot initiative on ecological civilization.
<br>
<br>The project contributes to the PRC Government's goal of building a harmonious and prosperous society through environmentally sustainable growth and priorities of its upcoming Thirteenth Five-Year Plan. The decision of the Third Plenary Session of the 18th Central Committee of the Communist Party of the PRC which supports eco-civilization and establishment of a system to protect ecosystems. It also supports ADB's strategic priorities of the Midterm Review of Strategy 2020 and the Water Operational Plan, 2011 2020 to increase coverage and improved services for sanitation, and promote integrated water resources and river basin management.
<br>
<br>The project design has incorporated lessons from other initiatives including previous ADB-financed projects and policy-oriented studies on IWRM, environmental and ecosystem improvement, wetland and lake management and restoration, and urban rural integration in the PRC. Major lessons include the need for: (i) an integrated approach including structural and nonstructural measures, (ii) community participation and increased public awareness, (iii) coordinated management of urban-rural planning, (iv) leadership and governance in environmental management, and (v) management and data information systems for IWRM decision making.
"
44429-013,Climate Adaptation in Vennar Subbasin in Cauvery Delta Project,India,Sovereign,Loan,Active,3394,6/7/2016,"100,000,000.00",Tamil Nadu,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Irrigation",B,C,A,South Asia Department,"Water Resources Department, Gov't of Tamil Nadu","Goyal, Vikas","ADB and the Government of India are working together to reduce flood risks and improve the distribution of water for irrigation in the Cauvery Delta of the state of Tamil Nadu. The Climate Adaptation in Vennar Subbasin in Cauvery Delta Project aims to protect coastal districts from cyclones and flooding that is being made worse by climate change. The project is upgrading infrastructure and resectioning and strengthening embankments of six main channels totaling 235 kilometers. More robust flood control structures will reduce the frequency and impact of flooding. Thirteen pump stations are also being upgraded. The management systems of the Water Resources Department will also be strengthened, with greater participation by stakeholders in the planning and delivery of water services, better assessment of water resources, development of a decision support system, and training of officers."
50216-001,El-Nino Disaster Response Project,Viet Nam,Sovereign,Grant,Closed,0480,6/1/2016,"3,000,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural flood protection | Rural sanitation | Rural water supply services",,,,Southeast Asia Department,Ministry of Agriculture & Rural Development (MARD),"Ranawana, Sanath","The project consist of activities relating to the provision of life preserving services for communities affected by the following natural disaster: the El-Nino Southern Oscillation effect, causing serious drought conditions in South Central and Central Highland regions as well as severe drought and saltwater intrusion in the Mekong Delta."
49334-001,Emergency Support for Chin State Livelihoods Restoration Project,Myanmar,Sovereign,Grant,Closed,9185,4/22/2016,0,Chin State,"Agriculture, natural resources and rural development | Transport",Agricultural drainage | Agricultural production | Road transport (non-urban),B,B,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania","Heavy rains that started in June 2015 and Cyclone Komen, which made landfall on 30 July 2015, caused widespread flooding and landslides across Myanmar. On 4 September 2015, the government requested emergency assistance from the Asian Development Bank (ADB) to help restore the livelihoods of communities in Chin State, where numerous landslides disrupted the fragile transport links between mountainous villages and severely damaged community assets. Chin State is the poorest and most remote region in Myanmar. The project,
which will benefit about 28% of the population in Chin State, will focus on restoring access and rebuilding community assets, as well as strengthening the capacity of state and local
governments and communities to withstand future disasters.
"
49441-001,Dzud Disaster Response,Mongolia,Sovereign,Grant,Closed,0475,4/6/2016,"2,000,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,East Asia Department,Ministry of Finance (formerly Ministry of Finance and Economy),"Purev, Ongonsar",
46528-003,Jalalpur Irrigation PDA,Pakistan,Sovereign,Loan,Closed,6006,2/1/2016,"5,000,000.00",Punjab,"Agriculture, natural resources and rural development",Irrigation,C,C,C,Central and West Asia Department,Punjab Irrigation Department,"Shimasaki, Akihiro","The proposed Jalalpur Irrigation Project is located in Punjab, Pakistan. The project will provide irrigation from summer floods to 65,000 hectares and will increase agricultural production of rainfed areas in Jhelum and Khushab districts. The project will (i) construct over 200 kilometers of new irrigation canals, (ii) introduce a farmers-based irrigation management, and (iii) train farmers in good farming practices. It will directly benefit over 200,000 rural people, mostly poor, through creation of new jobs and improving livelihood, food security, and economic growth."
48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor,Myanmar,Sovereign,Grant,Active,9184,12/15/2015,0,"Chaungzon, Kyaikhtaw, Mawlamyine, Mudon",Agriculture and Natural Resources,"Agriculture, natural resources and rural development",C,B,C,Southeast Asia Department,Ministry of Hotels and Tourism,"Dina, Stefania","The project will support micro and small enterprise (MSE) development, and increased employment and economic opportunities for the poor and women selling crafts and local food to tourists and residents in the East West Economic Corridor (EWEC). The project locations are Chaungzon Island, Kyaikhto Mawlamyine, and Mudon four townships in Mon state. The project comprises an integrated approach to enable microentrepreneurs to access technical training, skills in business management, appropriate technology, finance, and markets to build competitive and sustainable businesses and contribute to reducing household poverty."
37231-044,Punjab Irrigated Agriculture Investment Program â€“ Tranche 4,Pakistan,Sovereign,Loan,Closed,3351,12/8/2015,"26,570,000.00",Punjab,"Agriculture, natural resources and rural development",Irrigation,C,C,C,Central and West Asia Department,Irrigation Department of the Government of Punjab,"Zafar, Asad A.","ADB approved a multitranche financing facility (MFF) for the Punjab Irrigated Agriculture Investment Program for $900 million in December 2006 (reduced to $700 million in 2011 following amendment in MFF). Three tranches of total $538 million were approved. The proposed tranche is fourth and last tranche (T4), will meet $26.6 million cost overruns in T1 and remains within the MFF balance of $162 million. The T4 is classified category C for environment, involuntary resettlement, and indigenous peoples safeguards. The climate change classification is Medium as the region experienced recurring major flood events and may face future water stress. For knowledge solutions, groundwater management plan is developed in the project."
48216-001,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park Project,Mongolia,Sovereign,Grant,Closed,9183,12/7/2015,0,Khovsgol,Agriculture and Natural Resources,"Agriculture, natural resources and rural development",C,C,C,East Asia Department,Ministry of Environment and Tourism,"Bezuijen, Mark R.","Khuvsgul Lake National Park (KLNP) in Khuvsgul aimag supports a rapidly expanding but uncontrolled tourism industry, and a small local population which is poor, receives few benefits from tourism, and is dependent on subsistence use of natural resources. The proposed grant will support local livelihoods through improved capacity for sustainable tourism and subsistence activities, in participation with the park administration and other key stakeholders. The project design adopts an integrated approach for livelihoods, tourism, waste management, and land use planning, and will serve as a model for other protected areas in Mongolia."
47070-002,Hunan Dongjiang Lake Integrated Environmental Protection and Management Project,"China, People's Republic of",Sovereign,Loan,Active,3336,11/25/2015,"130,000,000.00",Zixing Shi,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Forestry | Land-based natural resources management | Rural flood protection | Rural solid waste management | Rural water supply services | Water-based natural resources management | Urban sewerage | Urban water supply,A,B,A,East Asia Department,Zixing City Government,"Kobayashi, Yoshiaki","The proposed project will be implemented in the Dongjiang Lake basin in Zixing City, Chenzhou Municipality, Hunan Province. The project will introduce an integrated approach to address the current constraints in lake environmental protection and livelihood development. <br><br>The impact will be the achievement of sustainable economic development of the Xiang River basin in Hunan Province. The outcome will be the achievement of integrated environmental protection in Dongjiang Lake basin. The project will include five outputs: (i) improved pollution control, (ii) establishment of urban -rural water supply system, (iii) rehabilitated river course, (iv) establishment of integrated ecosystem rehabilitation and management established, and (v) strengthened environmental and project management capacity.<br><br>Output 1 will include (i) construction of six township wastewater treatment plants with a total capacity of 2,000 cubic meters/day, and associated sewage collection pipes of 38.1 kilometers (km); (ii) construction of 2,856 small-scale wastewater treatment facilities for rural villages in 10 townships, and associated sewer pipes of about 330 km; (iii) procurement of solid waste collection and compaction equipment, and seven transfer facilities; and (iv) development of nonpoint source pollution management, including soil test and green fertilizer application; and green pest control measures application in 5,690 hectares (ha) of farmland. Output 2 will include (i) construction of Yangdongxia water supply plant with total water treatment capacity of 20,000 cubic meters/day for water supply of 128,688 residents in five townships, associated water delivery and supply pipelines with total length of about 700 km, and pressure regulating stations; (ii) construction of Chukou water supply plant with capacity of 620 cubic meters/day for supply of 3,200 residents and associated water delivery and supply pipelines of about 35 km; and (iii) procurement of operation and maintenance equipment. Output 3 will improve the flood protection standard and reduce soil erosion of five major rivers of Guangqiao, Lianping, Qingyao, Tian'eshan, and Xingning that flow into the lake, including block clearance and dredging of 653,692 cubic meters (14.7 km), green embankment of 13.7 km, and landscaping along the river banks. Output 4 will include (i) establishment of aquatic facilities and management; (ii) construction of three wetlands for about 167 ha, and management facilities; (iii) conduct of soil erosion control, including 1,000 ha of reforestation and revegetation, natural enhancement and management of 13,666-ha public forest, construction of 590-km fire breaks and procurement of fire-fighting facilities; (iv) improvement of 2,595 ha of bamboo forest; (v) conduct of alternative livelihood training for 30,000 rural residents; and (vi) carrying out of an eco-compensation pilot scheme. Output 5 will support (i) establishment of environmental, fishery, and forest fire-fighting monitoring centers; (ii) establishment of the Dongjiang Lake ecological and environmental protection research center; (iii) development of the Dongjiang Lake environmental monitoring and management information system; (iv) provision of project implementation consulting services, training, workshops, and study tours; and (v) establishment of a project monitoring and evaluation system.<br><br>The Zixing City Government (ZCG) will be the executing agency of the project. A project management office (PMO) has been established to be responsible for project coordination, guidance, and consolidated planning and reporting of the project implementation. The implementing agency will be the Zixing City Urban and Rural Environmental Protection Investment and Financing Center (ZIFC)."
47046-002,Gansu Featured Agriculture and Financial Services System Development Project,"China, People's Republic of",Sovereign,Loan,Active,3312,11/12/2015,"100,000,000.00","Nation-wide, Gansu Sheng","Agriculture, natural resources and rural development | Finance","Agricultural production | Agro-industry, marketing, and trade | Inclusive finance",FI,FI,FI-C,East Asia Department,Gansu Provincial Government,"Leung, Kang Hang","ADB's country partnership strategy for PRC (2011 2015) identifies inclusive growth as one of the three pillars in the partnership which will be supported by boosting rural livelihoods and improving access to microfinance and small and medium enterprise finance. The partnership also recognizes private sector development, knowledge solutions, capacity development, and gender equity as major drivers of change to maximize development impacts in the PRC. The proposed project will promote inclusive growth in the project area through improving rural livelihood. Agricultural productivity will be enhanced through providing financial and technical support to private agricultural enterprises and farmer cooperatives for the construction of standard production and/or processing bases and strengthening of governance and management capacity. Further development of rural financial services will expand access to finance among rural residents and agricultural enterprises. The project has significant potential for innovation and knowledge generation in agricultural and rural finance, sustainable use of water resources, poverty targeting and reduction, and scientific evaluation of development interventions. Finally, the project will promote gender equity in access to finance and management of farmer cooperatives and agricultural enterprises."
34418-023,Southwest Area Integrated Water Resources Planning and Management Project - Additional Financing,Bangladesh,Sovereign,Grant | Loan,Active,0441 | 3302,9/30/2015,"45,000,000.00","Faridpur, Gopalganj, Magura, Rajbari","Agriculture, natural resources and rural development","Agricultural production | Rural water policy, institutional and capacity development | Water-based natural resources management",B,C,B,South Asia Department,Bangladesh Water Development Board,"Srivastava, Pushkar","The additional financing will expand the success of the current project to nearby geographical areas in the southwest of the country, aiming at enhancing the livelihood of the rural population by improving the productivity and sustainability of existing underperforming flood control, drainage, and irrigation (FCDI) schemes. It will address constraints on agriculture, fisheries, and livelihood development through holistic and participatory planning, development, and management of water and delivery of support services."
46081-002,Henan Sustainable Livestock Farming and Product Safety Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,3296,9/29/2015,"69,000,000.00","Nation-wide, Henan Sheng","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agro-industry, marketing, and trade | Livestock",B,C,B,East Asia Department,Henan Provincial Government (HPG),"Xia, Heng",
44328-013,Uplands Irrigation and Water Resources Management Sector Project,Cambodia,Sovereign,Loan,Active,3289,9/24/2015,"60,000,000.00","Battambang, Kampong Thom","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,B,C,C,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Long, Piseth Vou","The proposed Uplands Irrigation and Water Resources Management Sector Project will help the Government of Cambodia increase agricultural production by rehabilitating, modernizing, and climate-proofing selected irrigation systems in Kampong Thom and Battambang provinces. Subprojects will be undertaken to (i) enhance the efficiency and climate resilience of irrigation systems, and (ii) improve water resource management by building the capacity of government agencies and of farmer water user communities (FWUCs) so that they can operate and manage the irrigation systems better. The project will contribute to achieving targets defined in the government's strategy. The strategy aims to develop and expand the country's irrigated land and manage its water resources more effectively by improving existing irrigation systems, making water user communities more efficient, and reducing the vulnerability of the Cambodia's people to disasters caused by natural hazards. The project is included in the Asian Development Bank (ADB) country operations business plan for Cambodia for 2015 2017. 
The project impact will be inclusive economic growth through agriculture and irrigation, in line with phase 3 of the government's Rectangular Strategy on Growth, Employment, Equity, and Efficiency for 2014 2018. The outcome will be water and agriculture productivity enhanced in the project area. The project will deliver two outputs: (i) Output 1: Enhanced efficiency and climate resilience of irrigation systems in the project area; and (ii) Output 2: Improved water resource management.
"
47048-002,Hubei Enshi Qing River Upstream Environment Rehabilitation Project,"China, People's Republic of",Sovereign,Loan,Active,3277,9/11/2015,"100,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural sanitation | Water-based natural resources management | Urban flood protection | Urban sewerage,A,B,A,East Asia Department,The People's Government of Enshi Tujia and Miao Autonomous Prefecture,"Liu, Xinjian","The project will address inadequate wastewater collection and treatment, extensive nonpoint source pollution, and recurrent flooding that affect living standards and sustainable economic development in the Enshi Tujia and Miao Autonomous Prefecture (ETMAP) of Hubei province. The impact will be the improved environmental ecological sustainability in the upper Qing River basin . The outcome will be the improved river health and water resource management in the upper Qing River basin. The project's expected outputs are: (i) wastewater management improved; (ii) flood management enhanced; (iii) water and environmental management integrated; and (iv) inclusive capacity development strengthened."
