Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
Smallholder Tree Farming and Forestry Project,P004457,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004457,1977-12-22T00:00:00Z,,,,,
Ogseo Area Development Project,P004077,East Asia and Pacific,Closed,Republic of Korea,,https://projects.worldbank.org/en/projects-operations/project-detail/P004077,1977-12-22T00:00:00Z,,,,,
Livestock Project (02),P000137,Eastern and Southern Africa,Closed,Republic of Botswana,,https://projects.worldbank.org/en/projects-operations/project-detail/P000137,1977-12-06T00:00:00Z,,,,,
Salinity Control and Reclamation Project,P010115,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010115,1977-12-06T00:00:00Z,,,,,
Hazara Forestry Preinvestment Project,P010116,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010116,1977-12-06T00:00:00Z,,,,,
Mopti Rice Project (02),P001699,Western and Central Africa,Closed,Republic of Mali,,https://projects.worldbank.org/en/projects-operations/project-detail/P001699,1977-11-29T00:00:00Z,,,,,
Hill Farming Technical Development Project,P010114,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010114,1977-11-22T00:00:00Z,,,,,
Foodgrain Storage Project (02),P009732,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009732,1977-11-15T00:00:00Z,,,,,
National Extension Project,P004253,East Asia and Pacific,Closed,Malaysia,,https://projects.worldbank.org/en/projects-operations/project-detail/P004253,1977-11-15T00:00:00Z,,,,,
Seed Development Project,P003347,East Asia and Pacific,Closed,Republic of the Union of Myanmar,,https://projects.worldbank.org/en/projects-operations/project-detail/P003347,1977-11-01T00:00:00Z,,,,,
Ceara Rural Development Project,P006286,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P006286,1977-09-13T00:00:00Z,,,,,
Rural Development in Cotton Areas Project (01),P002833,Western and Central Africa,Closed,Republic of Togo,,https://projects.worldbank.org/en/projects-operations/project-detail/P002833,1977-09-13T00:00:00Z,,,,,
Irrigation Project - Orissa,P009729,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009729,1977-09-06T00:00:00Z,,,,,
Sahelian Zone Project,P000493,Western and Central Africa,Closed,Republic of Chad,,https://projects.worldbank.org/en/projects-operations/project-detail/P000493,1977-09-06T00:00:00Z,,,,,
Pitsilia Rural Development Project,P008349,Europe and Central Asia,Closed,Republic of Cyprus,,https://projects.worldbank.org/en/projects-operations/project-detail/P008349,1977-08-09T00:00:00Z,,,,,
Irrigation Project - Maharashtra,P009726,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009726,1977-07-19T00:00:00Z,,,,,
Rajasthan Agricultural Extention Project,P009733,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009733,1977-07-19T00:00:00Z,,,,,
Agriculture Credit Project (02),P008704,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P008704,1977-07-12T00:00:00Z,,,,,
Agriculture Credit Project (02),P009177,Europe and Central Asia,Closed,Socialist Federal Republic of Yugoslavia,,https://projects.worldbank.org/en/projects-operations/project-detail/P009177,1977-07-05T00:00:00Z,,,,,
Rural Development Fund Project,P000335,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P000335,1977-06-30T00:00:00Z,,,,,
Ayangba Agricultural Development Project,P002032,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002032,1977-06-28T00:00:00Z,,,,,
Assam Agricultural Credit Project,P009713,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009713,1977-06-28T00:00:00Z,,,,,
Extension and Research Project,P009382,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009382,1977-06-28T00:00:00Z,,,,,
Chao Phya Irrigation Project (02),P004689,East Asia and Pacific,Closed,Kingdom of Thailand,,https://projects.worldbank.org/en/projects-operations/project-detail/P004689,1977-06-28T00:00:00Z,,,,,
Lafia Agricultural Development Project,P002033,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P002033,1977-06-28T00:00:00Z,,,,,
Rural Development Project,P007418,Latin America and Caribbean,Closed,Jamaica,,https://projects.worldbank.org/en/projects-operations/project-detail/P007418,1977-06-23T00:00:00Z,,,,,
Integrated Rural Development - PIDER Project (02),P007542,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P007542,1977-06-16T00:00:00Z,,,,,
Muhuri Irrigation Project,P009380,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009380,1977-06-16T00:00:00Z,,,,,
Shallow Tubewells Project,P009381,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009381,1977-06-16T00:00:00Z,,,,,
Agriculture Credit Project,P007053,Latin America and Caribbean,Closed,Republic of Ecuador,,https://projects.worldbank.org/en/projects-operations/project-detail/P007053,1977-06-14T00:00:00Z,,,,,
Evros Development Project,P008430,Europe and Central Asia,Closed,Hellenic Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P008430,1977-06-14T00:00:00Z,,,,,
Bura Irrigation Project,P001255,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P001255,1977-06-07T00:00:00Z,,,,,
National Small-Scale Irrigation Project,P004247,East Asia and Pacific,Closed,Malaysia,,https://projects.worldbank.org/en/projects-operations/project-detail/P004247,1977-06-02T00:00:00Z,,,,,
Agriculture Credit Project (03),P009312,South Asia,Closed,Islamic  Republic of Afghanistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P009312,1977-06-02T00:00:00Z,,,,,
Irrigation Project - Periyar Vaigai,P009715,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009715,1977-06-02T00:00:00Z,,,,,
Savannah Development Project,P002570,Eastern and Southern Africa,Closed,Republic of the Sudan,,https://projects.worldbank.org/en/projects-operations/project-detail/P002570,1977-05-31T00:00:00Z,,,,,
Nile Delta Drainage Project (02),P005002,Middle East and North Africa,Closed,Arab Republic of Egypt,,https://projects.worldbank.org/en/projects-operations/project-detail/P005002,1977-05-31T00:00:00Z,,,,,
Irrigation Project (08),P003758,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003758,1977-05-26T00:00:00Z,,,,,
Irrigation Project (09),P003759,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003759,1977-05-26T00:00:00Z,,,,,
Agricultural Refinance and Development Corporation Credit Project (02),P009712,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009712,1977-05-24T00:00:00Z,,,,,
Sidi Salem Multipurpose Project,P005623,Middle East and North Africa,Closed,Republic of Tunisia,,https://projects.worldbank.org/en/projects-operations/project-detail/P005623,1977-05-24T00:00:00Z,,,,,
Rural Development Project (02) - Land Settlement Project (01),P004447,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004447,1977-05-17T00:00:00Z,,,,,
Industrial Forestry Project (02),P003169,Eastern and Southern Africa,Closed,Republic of Zambia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003169,1977-05-12T00:00:00Z,,,,,
Madhya Pradesh Agricultural Credit Project,P009718,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009718,1977-05-12T00:00:00Z,,,,,
Rural Development Project (02),P007863,Latin America and Caribbean,Closed,Republic of Paraguay,,https://projects.worldbank.org/en/projects-operations/project-detail/P007863,1977-05-10T00:00:00Z,,,,,
Amibara Irrigation (REVISED) Project,P000690,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,,https://projects.worldbank.org/en/projects-operations/project-detail/P000690,1977-05-10T00:00:00Z,,,,,C
National Irrigation Systems Improvement Project,P004448,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004448,1977-05-03T00:00:00Z,,,,,
West Volta Agricultural Development Project,P000253,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P000253,1977-05-03T00:00:00Z,,,,,
Doukkala Irrigation Project (02),P005378,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P005378,1977-05-03T00:00:00Z,,,,,
Agricultural Credit and Development Project,P006914,Latin America and Caribbean,Closed,Republic of Costa Rica,,https://projects.worldbank.org/en/projects-operations/project-detail/P006914,1977-04-26T00:00:00Z,,,,,
Tabora Rural Development Project,P002704,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002704,1977-04-26T00:00:00Z,,,,,
Mahaweli Ganga Development Project (02),P010107,South Asia,Closed,Democratic Socialist Republic of Sri Lan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010107,1977-04-21T00:00:00Z,,,,,
Bong County Agriculture Development Project (01),P001425,Western and Central Africa,Closed,Republic of Liberia,,https://projects.worldbank.org/en/projects-operations/project-detail/P001425,1977-04-19T00:00:00Z,,,,,
Livestock Project (02),P003025,Eastern and Southern Africa,Closed,Democratic Republic of the Congo,,https://projects.worldbank.org/en/projects-operations/project-detail/P003025,1977-04-12T00:00:00Z,,,,,
Irrigation Rehabilitation Project,P007960,Latin America and Caribbean,Closed,Republic of Peru,,https://projects.worldbank.org/en/projects-operations/project-detail/P007960,1977-04-12T00:00:00Z,,,,,
Rural Credit Project (04),P004446,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004446,1977-04-05T00:00:00Z,,,,,
Livestock Project (02),P007804,Latin America and Caribbean,Closed,Republic of Panama,,https://projects.worldbank.org/en/projects-operations/project-detail/P007804,1977-04-05T00:00:00Z,,,,,
Fisheries Project (02),P007803,Latin America and Caribbean,Closed,Republic of Panama,,https://projects.worldbank.org/en/projects-operations/project-detail/P007803,1977-04-05T00:00:00Z,,,,,
National Agricultural Extension Project,P004690,East Asia and Pacific,Closed,Kingdom of Thailand,,https://projects.worldbank.org/en/projects-operations/project-detail/P004690,1977-03-31T00:00:00Z,,,,,
SONADER Technical Assistance Project,P001823,Western and Central Africa,Closed,Islamic Republic of Mauritania,,https://projects.worldbank.org/en/projects-operations/project-detail/P001823,1977-03-31T00:00:00Z,,,,,
Fisheries Project - Gujarat,P009714,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009714,1977-03-31T00:00:00Z,,,,,
South Nyanza Sugar Project,P001254,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P001254,1977-03-29T00:00:00Z,,,,,
Agricultural Credit Project (03),P001252,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P001252,1977-03-29T00:00:00Z,,,,,
Socapalm Project (02),P000336,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P000336,1977-03-29T00:00:00Z,,,,,
West Bengal Agricultural Credit Project,P009717,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009717,1977-03-22T00:00:00Z,,,,,
Oil Palm and Coconut Project (04),P001116,Western and Central Africa,Closed,Republic of Cote d'Ivoire,,https://projects.worldbank.org/en/projects-operations/project-detail/P001116,1977-03-22T00:00:00Z,,,,,
Rural Development Project (01),P002654,Eastern and Southern Africa,Closed,Kingdom of Eswatini,,https://projects.worldbank.org/en/projects-operations/project-detail/P002654,1977-03-08T00:00:00Z,,,,,
Montenegro Agriculture and Agro Industry Project,P009173,Europe and Central Asia,Closed,Socialist Federal Republic of Yugoslavia,,https://projects.worldbank.org/en/projects-operations/project-detail/P009173,1977-02-22T00:00:00Z,,,,,
Orissa Agricultural Development Project,P009719,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009719,1977-02-22T00:00:00Z,,,,,
1976 Flood Damage Restoration Project,P010104,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010104,1977-02-22T00:00:00Z,,,,,
Kerala Agricultural Development Project,P009716,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009716,1977-02-17T00:00:00Z,,,,,
Iamolita Calmatui Irrigation Project,P008700,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P008700,1977-02-17T00:00:00Z,,,,,
Punjab Livestock Project,P010103,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010103,1977-02-01T00:00:00Z,,,,,
Yong San Gang Irrigation Project (02),P004071,East Asia and Pacific,Closed,Republic of Korea,,https://projects.worldbank.org/en/projects-operations/project-detail/P004071,1977-01-25T00:00:00Z,,,,,
Minas Gerais Rural Development Project,P006278,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P006278,1977-01-11T00:00:00Z,,,,,
Metohija Multipurpose Project,P009172,Europe and Central Asia,Closed,Socialist Federal Republic of Yugoslavia,,https://projects.worldbank.org/en/projects-operations/project-detail/P009172,1977-01-11T00:00:00Z,,,,,
Agricultural Credit Project (03),P005377,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P005377,1977-01-11T00:00:00Z,,,,,
Rural Development Project,P007276,Latin America and Caribbean,Closed,Republic of Haiti,,https://projects.worldbank.org/en/projects-operations/project-detail/P007276,1976-12-28T00:00:00Z,,,,,
Agricultural Credit Project (02),P006744,Latin America and Caribbean,Closed,Republic of Colombia,,https://projects.worldbank.org/en/projects-operations/project-detail/P006744,1976-12-28T00:00:00Z,,,,,
Integrated Rural Development Project,P006745,Latin America and Caribbean,Closed,Republic of Colombia,,https://projects.worldbank.org/en/projects-operations/project-detail/P006745,1976-12-23T00:00:00Z,,,,,
Plaine des M'bo Rural Development Project,P000334,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P000334,1976-12-21T00:00:00Z,,,,,
Livestock Fruits Vineyards and Agro-Industry Project,P006600,Latin America and Caribbean,Closed,Republic of Chile,,https://projects.worldbank.org/en/projects-operations/project-detail/P006600,1976-12-21T00:00:00Z,,,,,
Mixed Farming and Rural Development Project,P002197,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P002197,1976-12-14T00:00:00Z,,,,,
Mali Sud Agriculture Development Project (01),P001697,Western and Central Africa,Closed,Republic of Mali,,https://projects.worldbank.org/en/projects-operations/project-detail/P001697,1976-12-14T00:00:00Z,,,,,
Tank Irrigation Modernization Project,P010101,South Asia,Closed,Democratic Socialist Republic of Sri Lan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010101,1976-11-30T00:00:00Z,,,,,
Rural Project Fund,P000491,Western and Central Africa,Closed,Republic of Chad,,https://projects.worldbank.org/en/projects-operations/project-detail/P000491,1976-11-30T00:00:00Z,,,,,
Agriculture Credit Project (02),P005622,Middle East and North Africa,Closed,Republic of Tunisia,,https://projects.worldbank.org/en/projects-operations/project-detail/P005622,1976-11-23T00:00:00Z,,,,,
Popondetta Smallholder Oil Palm Project,P004355,East Asia and Pacific,Closed,The Independent State of Papua New Guine,,https://projects.worldbank.org/en/projects-operations/project-detail/P004355,1976-10-19T00:00:00Z,,,,,
Livestock Credit and Processing Project,P005765,Middle East and North Africa,Closed,Republic of Yemen,,https://projects.worldbank.org/en/projects-operations/project-detail/P005765,1976-10-19T00:00:00Z,,,,,
Cotton Rehabilitation Project (01),P003024,Eastern and Southern Africa,Closed,Democratic Republic of the Congo,,https://projects.worldbank.org/en/projects-operations/project-detail/P003024,1976-09-21T00:00:00Z,,,,,
Agricultural Credit Project (02),P004070,East Asia and Pacific,Closed,Republic of Korea,,https://projects.worldbank.org/en/projects-operations/project-detail/P004070,1976-09-21T00:00:00Z,,,,,
Tobacco Processing Project,P002706,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002706,1976-09-07T00:00:00Z,,,,,
SATEGUI DERESSIA I S,P000492,Western and Central Africa,Closed,Republic of Chad,,https://projects.worldbank.org/en/projects-operations/project-detail/P000492,1976-08-10T00:00:00Z,,,,,
Miho Watershed Development Project,P004072,East Asia and Pacific,Closed,Republic of Korea,,https://projects.worldbank.org/en/projects-operations/project-detail/P004072,1976-07-27T00:00:00Z,,,,,
Cinchona Project,P002196,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P002196,1976-07-15T00:00:00Z,,,,,
Transmigration Project,P003757,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003757,1976-07-15T00:00:00Z,,,,,
Agro Industries Credit Project (02),P006279,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P006279,1976-07-15T00:00:00Z,,,,,
Livestock Project (01),P005552,Middle East and North Africa,Closed,Syrian Arab Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P005552,1976-07-06T00:00:00Z,,,,,
Bhairawa - Lumbini Groundwater Project,P010098,South Asia,Closed,Nepal,,https://projects.worldbank.org/en/projects-operations/project-detail/P010098,1976-07-06T00:00:00Z,,,,,
Wildlife and Tourism Project,P001257,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P001257,1976-07-01T00:00:00Z,,,,,
Integrated Agricultural Development Project (01),P001253,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P001253,1976-07-01T00:00:00Z,,,,,
Fisheries Development Project,P002705,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002705,1976-07-01T00:00:00Z,,,,,
Sao Hill Forestry Project (01),P002707,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002707,1976-07-01T00:00:00Z,,,,,
Drainage and Irrigation Farming Project,P010097,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010097,1976-06-24T00:00:00Z,,,,,
North Kelantan Rural Development Project,P004243,East Asia and Pacific,Closed,Malaysia,,https://projects.worldbank.org/en/projects-operations/project-detail/P004243,1976-06-24T00:00:00Z,,,,,
Livestock Project (02),P009310,South Asia,Closed,Islamic  Republic of Afghanistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P009310,1976-06-24T00:00:00Z,,,,,
Upper Region Agriculture Development Project,P000848,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P000848,1976-06-22T00:00:00Z,,,,,
Casamance Rice Project (02),P002294,Western and Central Africa,Closed,Republic of Senegal,,https://projects.worldbank.org/en/projects-operations/project-detail/P002294,1976-06-22T00:00:00Z,,,,,
Karonga Rural Development Project (02),P001600,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P001600,1976-06-15T00:00:00Z,,,,,
Lower Burma Paddyland Development Project,P003343,East Asia and Pacific,Closed,Republic of the Union of Myanmar,,https://projects.worldbank.org/en/projects-operations/project-detail/P003343,1976-06-15T00:00:00Z,,,,,
Rural Development Project,P000800,Western and Central Africa,Closed,Republic of The Gambia,,https://projects.worldbank.org/en/projects-operations/project-detail/P000800,1976-06-15T00:00:00Z,,,,,
Rural Development Project (02),P000252,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P000252,1976-06-08T00:00:00Z,,,,,
Upper Egypt Drainage Project (02),P004998,Middle East and North Africa,Closed,Arab Republic of Egypt,,https://projects.worldbank.org/en/projects-operations/project-detail/P004998,1976-06-08T00:00:00Z,,,,,
Maritime Region Rural Development Project,P002830,Western and Central Africa,Closed,Republic of Togo,,https://projects.worldbank.org/en/projects-operations/project-detail/P002830,1976-06-08T00:00:00Z,,,,,
Northwest Region Agricultural Development Project (01),P002445,Eastern and Southern Africa,Closed,Somali Democratic Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P002445,1976-06-03T00:00:00Z,,,,,
Grain Storage and Processing Project,P005762,Middle East and North Africa,Closed,Republic of Yemen,,https://projects.worldbank.org/en/projects-operations/project-detail/P005762,1976-06-03T00:00:00Z,,,,,
Eastern Senegal Livestock Project,P002293,Western and Central Africa,Closed,Republic of Senegal,,https://projects.worldbank.org/en/projects-operations/project-detail/P002293,1976-06-03T00:00:00Z,,,,,
Fruit and Vegetable Project,P004997,Middle East and North Africa,Closed,Arab Republic of Egypt,,https://projects.worldbank.org/en/projects-operations/project-detail/P004997,1976-05-28T00:00:00Z,,,,,
National Seed Project,P009703,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009703,1976-05-27T00:00:00Z,,,,,
Fisheries Credit Project (02),P004438,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004438,1976-05-25T00:00:00Z,,,,,
Grain Processing Project (02),P004442,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004442,1976-05-25T00:00:00Z,,,,,
National Food Crops Extension Project,P003749,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003749,1976-05-25T00:00:00Z,,,,,
Livestock Project (03),P008912,Europe and Central Asia,Closed,Republic of Turkiye,,https://projects.worldbank.org/en/projects-operations/project-detail/P008912,1976-05-25T00:00:00Z,,,,,
Rural Development Project,P009373,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009373,1976-05-20T00:00:00Z,,,,,
Agricultural Credit Project,P007348,Latin America and Caribbean,Closed,Republic of Honduras,,https://projects.worldbank.org/en/projects-operations/project-detail/P007348,1976-05-18T00:00:00Z,,,,,
Irrigation Project - Andhra Pradesh,P009701,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009701,1976-05-04T00:00:00Z,,,,,
Agricultural Research Project,P006269,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P006269,1976-04-27T00:00:00Z,,,,,
Agriculture Credit and Agro Industry Project,P008911,Europe and Central Asia,Closed,Republic of Turkiye,,https://projects.worldbank.org/en/projects-operations/project-detail/P008911,1976-04-27T00:00:00Z,,,,,
Rasova Vederosa Irrigation Project,P008697,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P008697,1976-04-27T00:00:00Z,,,,,
Rubber Replanting Project,P004686,East Asia and Pacific,Closed,Kingdom of Thailand,,https://projects.worldbank.org/en/projects-operations/project-detail/P004686,1976-04-20T00:00:00Z,,,,,
Fisheries Development Project,P000170,Eastern and Southern Africa,Closed,Republic of Burundi,,https://projects.worldbank.org/en/projects-operations/project-detail/P000170,1976-04-20T00:00:00Z,,,,,
Drought Rehabilitation Project (01),P002446,Eastern and Southern Africa,Closed,Somali Democratic Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P002446,1976-04-13T00:00:00Z,,,,,
Technical Assistance Project (02),P009379,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009379,1976-04-06T00:00:00Z,,,,,
TIHAMA DEVT SUPPLEMENT,P005763,Middle East and North Africa,Closed,Republic of Yemen,,https://projects.worldbank.org/en/projects-operations/project-detail/P005763,1976-03-30T00:00:00Z,,,,,
Technical Assistance Project,P007049,Latin America and Caribbean,Closed,Republic of Ecuador,,https://projects.worldbank.org/en/projects-operations/project-detail/P007049,1976-03-30T00:00:00Z,,,,,
Seeds Project,P007050,Latin America and Caribbean,Closed,Republic of Ecuador,,https://projects.worldbank.org/en/projects-operations/project-detail/P007050,1976-03-30T00:00:00Z,,,,,
Sugar Project,P003677,East Asia and Pacific,Closed,Republic of Fiji,,https://projects.worldbank.org/en/projects-operations/project-detail/P003677,1976-03-23T00:00:00Z,,,,,
Chico River Irrigation Project,P004440,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004440,1976-03-23T00:00:00Z,,,,,
Seeds Project,P010094,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P010094,1976-03-16T00:00:00Z,,,,,
Livestock Project (02),P004441,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004441,1976-03-16T00:00:00Z,,,,,
Agriculture and Livestock Project (05),P007538,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P007538,1976-03-09T00:00:00Z,,,,,
Rural Infrastructure Project,P004064,East Asia and Pacific,Closed,Republic of Korea,,https://projects.worldbank.org/en/projects-operations/project-detail/P004064,1976-03-09T00:00:00Z,,,,,
Rural Development Project (01),P010093,South Asia,Closed,Nepal,,https://projects.worldbank.org/en/projects-operations/project-detail/P010093,1976-02-24T00:00:00Z,,,,,
Ingari Rural Development Project,P006122,Latin America and Caribbean,Closed,Plurinational State of Bolivia,,https://projects.worldbank.org/en/projects-operations/project-detail/P006122,1976-02-17T00:00:00Z,,,,,
Wadi Hadramawt Agriculture Project,P005853,Middle East and North Africa,Closed,Republic of Yemen,,https://projects.worldbank.org/en/projects-operations/project-detail/P005853,1976-02-17T00:00:00Z,,,,,
Doukkala Irrigation Project,P005372,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P005372,1976-02-03T00:00:00Z,,,,,
National Resources Survey and Mapping Project,P003756,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P003756,1976-01-27T00:00:00Z,,,,,
Northeast Rural Development Project (01) - NERD Project (01),P004683,East Asia and Pacific,Closed,Kingdom of Thailand,,https://projects.worldbank.org/en/projects-operations/project-detail/P004683,1976-01-27T00:00:00Z,,,,,
Integrated Cotton Development Project,P009702,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009702,1976-01-27T00:00:00Z,,,,,
Livestock Project,P004685,East Asia and Pacific,Closed,Kingdom of Thailand,,https://projects.worldbank.org/en/projects-operations/project-detail/P004685,1976-01-27T00:00:00Z,,,,,
Karnafuli Irrigation Project,P009374,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009374,1976-01-20T00:00:00Z,,,,,
KHANABAD IRRIG SUP FIN,P009309,South Asia,Closed,Islamic  Republic of Afghanistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P009309,1976-01-06T00:00:00Z,,,,,
Forest Assistance Project - Madhya Pradesh,P009704,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P009704,1975-12-30T00:00:00Z,,,,,
